full_address,lat,lon
170 Ang Mo Kio Ave 4,1.3740017,103.8367065
174 Ang Mo Kio Ave 4,1.3752431,103.8374311
216 Ang Mo Kio Ave 1,1.3662078,103.8414166
215 Ang Mo Kio Ave 1,1.3664997,103.8415977
218 Ang Mo Kio Ave 1,1.3651811,103.8415977
320 Ang Mo Kio Ave 1,1.3655808,103.8483915
330 Ang Mo Kio Ave 1,1.3623423,103.8510185
332 Ang Mo Kio Ave 1,1.3616045,103.8519244
333 Ang Mo Kio Ave 1,1.3613131,103.8516526
404 Ang Mo Kio Ave 10,1.3617351,103.854642
417 Ang Mo Kio Ave 10,1.3650281,103.8551856
418 Ang Mo Kio Ave 10,1.365035,103.8540079
419 Ang Mo Kio Ave 10,1.3654002,103.8541891
421 Ang Mo Kio Ave 10,1.3653349,103.8528303
440 Ang Mo Kio Ave 10,1.3664995,103.8540985
443 Ang Mo Kio Ave 10,1.3661952,103.8552926
445 Ang Mo Kio Ave 10,1.3670033,103.8556385
446 Ang Mo Kio Ave 10,1.3678117,103.8551856
447 Ang Mo Kio Ave 10,1.3675144,103.8559103
435 Ang Mo Kio Ave 10,1.3677443,103.8541891
433 Ang Mo Kio Ave 10,1.3680358,103.8544609
434 Ang Mo Kio Ave 10,1.3679694,103.8532832
432 Ang Mo Kio Ave 10,1.3683341,103.853555
471 Ang Mo Kio Ave 10,1.3634808,103.8567256
475 Ang Mo Kio Ave 10,1.362694,103.8566124
476 Ang Mo Kio Ave 10,1.3624185,103.8576169
473 Ang Mo Kio Ave 10,1.3630309,103.8568982
463 Ang Mo Kio Ave 10,1.3669193,103.8574503
462 Ang Mo Kio Ave 10,1.3669161,103.8579939
560 Ang Mo Kio Ave 10,1.3707919,103.8591716
558 Ang Mo Kio Ave 10,1.3712314,103.8591716
577 Ang Mo Kio Ave 10,1.3717852,103.8558518
561 Ang Mo Kio Ave 10,1.3705796,103.8579033
557 Ang Mo Kio Ave 10,1.3716063,103.8577221
541 Ang Mo Kio Ave 10,1.373289,103.8560821
248 Ang Mo Kio Ave 2,1.3682233,103.8326989
214 Ang Mo Kio Ave 3,1.3674345,103.8411327
235 Ang Mo Kio Ave 3,1.3669343,103.8362083
233 Ang Mo Kio Ave 3,1.3675541,103.8367065
302 Ang Mo Kio Ave 3,1.3670437,103.8456513
343 Ang Mo Kio Ave 3,1.3683603,103.8491162
346 Ang Mo Kio Ave 3,1.3671343,103.8497283
121 Ang Mo Kio Ave 3,1.3697115,103.8435905
120 Ang Mo Kio Ave 3,1.3701123,103.844328
129 Ang Mo Kio Ave 3,1.3698666,103.8421412
127 Ang Mo Kio Ave 3,1.3711757,103.8437717
422 Ang Mo Kio Ave 3,1.3679063,103.851562
571 Ang Mo Kio Ave 3,1.3701286,103.8547614
570 Ang Mo Kio Ave 3,1.3698332,103.8558859
585 Ang Mo Kio Ave 3,1.3706862,103.8524706
586 Ang Mo Kio Ave 3,1.3703046,103.8535072
565 Ang Mo Kio Ave 3,1.3695507,103.8584469
107 Ang Mo Kio Ave 4,1.371434,103.8372499
117 Ang Mo Kio Ave 4,1.3736407,103.8358007
118 Ang Mo Kio Ave 4,1.3732764,103.8354384
109 Ang Mo Kio Ave 4,1.3701494,103.8376575
610 Ang Mo Kio Ave 4,1.3798478,103.8394238
607 Ang Mo Kio Ave 4,1.3803646,103.8387898
