Planning Area,Station name,Station Code,Year of opening,Address,Lat,Lon
Ang Mo Kio,Yio Chu Kang,NS15,1987,3000 Ang Mo Kio Avenue 8,,
Ang Mo Kio,Ang Mo Kio,NS16,1987,2450 Ang Mo Kio Avenue 8,,
Ang Mo Kio,Ang Mo Kio,CR11,2029,,,
Bedok,Tanah Merah,EW4,1989,920 New Upper Changi Road,,
Bedok,Bedok,EW5,1989,315 New Upper Changi Road,,
Bedok,Kembangan,EW6,1989,55 Sims Avenue East,,
Bedok,Kaki Bukit,DT28,2017,30 Kaki Bukit Avenue 1,,
Bedok,Bedok North,DT29,2017,651 Bedok North Road,,
Bedok,Bedok Reservoir,DT30,2017,371 Bedok North Avenue 3,,
Bishan,Bishan,NS17,1987,200 Bishan Road,,
Bishan,Bishan,CC15,2009,17 Bishan Place,,
Bishan,Marymount,CC16,2009,60 Marymount Road,,
Bukit Batok,Bukit Batok,NS2,1990,10 Bukit Batok Central,,
Bukit Batok,Bukit Gombak,NS3,1990,802 Bukit Batok West Avenue 5,,
Bukit Batok,Bukit Panjang,DT1,2015,950 Upper Bukit Timah Road,,
Bukit Batok,Bukit Panjang,BP6,1999,11 Petir Road,,
Bukit Batok,Cashew,DT2,2015,1 Cashew Road,,
Bukit Batok,Hillview,DT3,2015,510 Upper Bukit Timah Road,,
Bukit Merah,Outram Park,EW16,1987,10 Outram Road,,
Bukit Merah,Outram Park,NE3,2003,300 Eu Tong Sen Street,,
Bukit Merah,Outram Park,TE17,2021,13 Outram Road,,
Bukit Merah,Tiong Bahru,EW17,1988,300 Tiong Bahru Road,,
Bukit Merah,Redhill,EW18,1988,920 Tiong Bahru Road,,
Bukit Merah,HarbourFront,NE1,2003,81 Telok Blangah Road,,
Bukit Merah,HarbourFront,CC29,2011,83 Telok Blangah Road,,
Bukit Merah,Labrador Park,CC27,2011,701 Telok Blangah Road,,
Bukit Merah,Telok Blangah,CC28,2011,463 Telok Blangah Road,,
Bukit Panjang,Bukit Panjang,DT1,2015,950 Upper Bukit Timah Road,,
Bukit Panjang,Bukit Panjang,BP6,1999,11 Petir Road,,
Bukit Panjang,Cashew,DT2,2015,1 Cashew Road,,
Bukit Panjang,Hillview,DT3,2015,510 Upper Bukit Timah Road,,
Bukit Timah,Farrer Road,CC20,2011,71 Farrer Road,,
Bukit Timah,Holland Village,CC21,2011,200 Holland Avenue,,
Bukit Timah,Beauty World,DT5,2015,101 Upper Bukit Timah Road,,
Bukit Timah,King Albert Park,DT6,2015,2 Blackmore Drive,,
Bukit Timah,Sixth Avenue,DT7,2015,777 Bukit Timah Road,,
Bukit Timah,Tan Kah Kee,DT8,2015,651 Bukit Timah Road,,
Changi,Changi Airport,CG2,2002,70 Airport Boulevard,,
Choa Chu Kang,Choa Chu Kang,NS4,1990,10 Choa Chu Kang Avenue 4,,
Choa Chu Kang,Choa Chu Kang,BP1,1999,15 Choa Chu Kang Avenue 4,,
Choa Chu Kang,Choa Chu Kang,JS1,2026,,,
Choa Chu Kang,Yew Tee,NS5,1996,61 Choa Chu Kang Drive,,
Choa Chu Kang,Bukit Panjang,DT1,2015,950 Upper Bukit Timah Road,,
Choa Chu Kang,Bukit Panjang,BP6,1999,11 Petir Road,,
Clementi,Clementi,EW23,1988,3150 Commonwealth Avenue West,,
Downtown Core,City Hall,NS25,1987,150 North Bridge Road,,
Downtown Core,City Hall,EW13,1987,150 North Bridge Road,,
Downtown Core,Raffles Place,NS26,1987,5 Raffles Place,,
Downtown Core,Raffles Place,EW14,1987,5 Raffles Place,,
Downtown Core,Marina Bay,NS27,1989,21 Park Street,,
Downtown Core,Marina Bay,CE2,2012,23 Park Street,,
Downtown Core,Marina Bay,TE20,2021,25 Park Street,,
Downtown Core,Bugis,EW12,1989,320 Victoria Street,,
Downtown Core,Bugis,DT14,2013,191 Rochor Road,,
Downtown Core,Tanjong Pagar,EW15,1987,120 Maxwell Road,,
Downtown Core,Esplanade,CC3,2010,90 Bras Basah Road,,
Downtown Core,Promenade,CC4,2010,2 Temasek Avenue,,
Downtown Core,Promenade,DT15,2013,10 Temasek Avenue,,
Downtown Core,Nicole Highway,CC5,2010,20 Republic Avenue,,
Downtown Core,Bayfront,CE1,2012,11 Bayfront Avenue,,
Downtown Core,Bayfront,DT16,2013,11 Bayfront Avenue,,
Downtown Core,Downtown,DT17,2013,15 Central Boulevard,,
Downtown Core,Telok Ayer,DT18,2013,7 Cross Street,,
Geylang,Eunos,EW7,1989,30 Eunos Crescent,,
Geylang,Paya Lebar,EW8,1989,30 Paya Lebar Road,,
Geylang,Paya Lebar,CC9,2010,15 Paya Lebar Road,,
Geylang,Aljunied,EW9,1989,81 Lorong 25 Geylang,,
Geylang,Mountbatten,CC7,2010,301 Mountbatten Road,,
Geylang,Dakota,CC8,2010,201 Old Airport Road,,
Geylang,MacPherson,CC10,2010,171 Paya Lebar Road,,
Geylang,MacPherson,DT26,2017,10 Circuit Link,,
Geylang,Mattar,DT25,2017,60 Merpati Road,,
Geylang,Ubi,DT27,2017,51 Ubi Avenue 2,,
Hougang,Kovan,NE13,2003,900 Upper Serangoon Road,,
Hougang,Hougang,NE14,2003,80 Hougang Central,,
Hougang,Hougang,CR8,2029,,,
Hougang,Tai Seng,CC11,2010,33 Upper Paya Lebar Road,,
Jurong East,Jurong East,NS1,1988,10 Jurong East Street 12,,
Jurong East,Jurong East,EW24,1988,10 Jurong East Street 12,,
Jurong East,Jurong East,JE5,2027,,,
Jurong East,Chinese Garden,EW25,1988,151 Boon Lay Way,,
Jurong West,Lakeside,EW26,1988,201 Boon Lay Way,,
Jurong West,Boon Lay,EW27,1990,301 Boon Lay Way,,
Jurong West,Boon Lay,JS8,2026,,,
Jurong West,Pioneer,EW28,2009,31 Jurong West Street 63,,
Kallang,Kallang,EW10,1989,5 Sims Avenue,,
Kallang,Lavender,EW11,1989,50 Kallang Road,,
Kallang,Little India,NE7,2003,60 Bukit Timah Road,,
Kallang,Little India,DT12,2015,62 Bukit Timah Road,,
Kallang,Farrer Park,NE8,2003,250 Race Course Road,,
Kallang,Boon Keng,NE9,2003,900 Serangoon Road,,
Kallang,Stadium,CC6,2010,3 Stadium Walk,,
Kallang,Mountbatten,CC7,2010,301 Mountbatten Road,,
Kallang,Bendemeer,DT23,2017,11 Kallang Bahru,,
Kallang,Geylang Bahru,DT24,2017,541 Kallang Bahru,,
Museum,Dhoby Ghaut,NS24,1987,11 Orchard Road,,
Museum,Dhoby Ghaut,NE6,2003,60 Orchard Road,,
Museum,Dhoby Ghaut,CC1,2010,13 Orchard Road,,
Museum,Bras Basah,CC2,2010,65 Bras Basah Road,,
Museum,Fort Canning,DT20,2017,170 River Valley Road,,
Museum,Bencoolen,DT21,2017,31 Bencoolen Street,,
Newton,Newton,NS21,1987,49 Scotts Road,,
Newton,Newton,DT11,2015,235 Bukit Timah Road,,
Novena,Novena,NS20,1987,250 Thomson Road,,
Novena,Stevens,DT10,2015,92 Stevens Road,,
Novena,Stevens,TE11,2021,82 Stevens Road,,
Orchard,Orchard,NS22,1987,437 Orchard Road,,
Orchard,Orchard,TE14,2021,301 Orchard Boulevard,,
Orchard,Somerset,NS23,1987,1 Somerset Road,,
Outram,Outram Park,EW16,1987,10 Outram Road,,
Outram,Outram Park,NE3,2003,300 Eu Tong Sen Street,,
Outram,Outram Park,TE17,2021,13 Outram Road,,
Outram,Chinatown,NE4,2003,151 New Bridge Road,,
Outram,Chinatown,DT19,2013,91 Upper Cross Street,,
Outram,Telok Ayer,DT18,2013,7 Cross Street,,
Pasir Ris,Pasir Ris,EW1,1989,10 Pasir Ris Central,,
Pasir Ris,Pasir Ris,CR5,2029,,,
Pasir Ris,Pasir Ris,CP1,2031,,,
Pioneer,Joo Koon,EW29,2009,91 Joo Koon Circle,,
Pioneer,Gul Circle,EW30,2017,7A Tuas Road,,
Punggol,Punggol,NE17,2003,70 Punggol Central,,
Punggol,Punggol,PTC,2005,70 Punggol Central,,
Punggol,Punggol,CP4,2031,,,
