full_address,lat,lon
1 BEACH RD,1.3034881,103.8645209
1 BEDOK STH AVE 1,1.3177824,103.932945
1 CHAI CHEE RD,1.3280646,103.9225418
1 CHANGI VILLAGE RD,1.3884846,103.9878738
1 DELTA AVE,1.2921357,103.8285547
1 DOVER RD,1.3025543,103.7833667
1 EVERTON PK,1.2774492,103.8400579
1 GHIM MOH RD,1.3129253,103.7868073
1 HAIG RD,1.3112025,103.8976789
1 HOUGANG AVE 3,1.3641651,103.8929442
1 JLN BT MERAH,1.2865434,103.8083586
1 KG KAYU RD,1.3036012,103.883815
1 LOR 7 TOA PAYOH,1.339338,103.853378
1 LOR LEW LIAN,1.350781,103.8752945
1 MARINE TER,1.3048678,103.9186134
1 MARSILING DR,1.4406299,103.7757377
1 PINE CL,1.3079191,103.8832694
1 QUEEN'S RD,1.3173411,103.8067765
1 ST. GEORGE'S RD,1.3234236,103.8616403
1 TECK WHYE AVE,1.3825654,103.7517712
1 TELOK BLANGAH CRES,1.2795459,103.8179657
1 TG PAGAR PLAZA,1.2748632,103.8426344
1 TOH YI DR,1.3395672,103.7747655
10 CHAI CHEE RD,1.3270163,103.9244409
10 EUNOS CRES,1.3223009,103.9025671
10 GLOUCESTER RD,1.3139654,103.8521735
10 HAIG RD,1.3147479,103.8958407
10 HOLLAND AVE,1.3082166,103.7942256
10 JLN BATU,1.3020705,103.882909
10 JLN BT HO SWEE,1.2875052,103.8328117
10 JLN KUKOH,1.2869588,103.8390615
10 JLN RUMAH TINGGI,1.288325,103.8084056
10 JOO SENG RD,1.3346786,103.880205
10 LOR 7 TOA PAYOH,1.3371227,103.8571807
10 MARSILING DR,1.440805,103.777276
10 PINE CL,1.3091671,103.882277
10 SELEGIE RD,1.3037148,103.8505656
10 ST. GEORGE'S RD,1.3237886,103.8633858
10 TECK WHYE AVE,1.380253,103.7554147
10 TELOK BLANGAH CRES,1.2778529,103.8197695
10 TOH YI DR,1.3376784,103.7733174
100 BEDOK NTH AVE 4,1.334268,103.9387805
100 C'WEALTH CRES,1.3077219,103.8012952
100 LOR 1 TOA PAYOH,1.339583,103.8484821
100 WHAMPOA DR,1.3208134,103.8541891
101 AH HOOD RD,1.327505,103.844521
101 ALJUNIED CRES,1.3209727,103.8834996
101 ANG MO KIO AVE 3,1.3702489,103.8394238
101 BEDOK NTH AVE 4,1.3344559,103.9379194
101 BEDOK RESERVOIR RD,1.3284164,103.909845
101 BISHAN ST 12,1.3449091,103.8485047
101 BT BATOK WEST AVE 6,1.3466187,103.7468859
